Z,N,A,Q_MeV,half_life_s,br_alpha,Emitted_Particle,Z_k,A_k
52.0,55.0,107.0,4.0103533,0.0051428571428571435,70.0,alpha,2,4
52.0,53.0,105.0,5.0691999,6.3e-07,100.0,alpha,2,4
52.0,56.0,108.0,3.420465,4.285714285714286,49.0,alpha,2,4
52.0,57.0,109.0,3.1976861,112.82051282051283,3.9,alpha,2,4
53.0,55.0,108.0,4.098666199999999,0.026532663316582914,99.5,alpha,2,4
53.0,56.0,109.0,3.9180699,0.662142857142857,0.014,alpha,2,4
53.0,59.0,112.0,2.9570864,278333.3333333334,0.0012,alpha,2,4
53.0,57.0,110.0,3.5805414,3.941176470588235,17.0,alpha,2,4
53.0,58.0,111.0,3.2745378,2500.0,0.1,alpha,2,4
54.0,57.0,111.0,3.7121503,7.115384615384615,10.4,alpha,2,4
54.0,56.0,110.0,3.8722066,0.1453125,64.0,alpha,2,4
54.0,54.0,108.0,4.5695582,5.8e-05,100.0,alpha,2,4
54.0,58.0,112.0,3.3304128,337.5,0.8,alpha,2,4
55.0,59.0,114.0,3.3569999,3166.6666666666665,0.018,alpha,2,4
56.0,58.0,114.0,3.5922840000000003,45.55555555555555,0.9,alpha,2,4
60.0,84.0,144.0,1.9012829,7.218801e+22,100.0,alpha,2,4
61.0,84.0,145.0,2.3221114,1.9948911428571427e+17,2.8e-07,alpha,2,4
63.0,84.0,147.0,2.991137,94647272727.27272,0.0022,alpha,2,4
63.0,85.0,148.0,2.6937185,500017021276595.7,9.4e-07,alpha,2,4
63.0,88.0,151.0,1.96397,1.4516496e+26,100.0,alpha,2,4
64.0,85.0,149.0,3.0993183,190902857142.85712,0.00042,alpha,2,4
64.0,87.0,151.0,2.6522117,1344600000000000.2,8e-07,alpha,2,4
65.0,84.0,149.0,4.0779687,88814.37125748504,16.7,alpha,2,4
65.0,86.0,151.0,3.4961546,667288421.0526317,0.0095,alpha,2,4
66.0,86.0,152.0,3.7265401000000002,8568000.0,0.1,alpha,2,4
66.0,87.0,153.0,3.5590607,245872340.4255319,0.0094,alpha,2,4
66.0,84.0,150.0,4.3512892,1162.7027027027027,37.0,alpha,2,4
66.0,85.0,151.0,4.179623899999999,19285.714285714286,5.6,alpha,2,4
67.0,84.0,151.0,4.6950117,160.0,22.0,alpha,2,4
67.0,87.0,154.0,4.0414946,3920000.0,0.018,alpha,2,4
67.0,85.0,152.0,4.507395300000001,1225.0,12.0,alpha,2,4
67.0,86.0,153.0,4.0516499,236470.58823529413,0.051,alpha,2,4
68.0,85.0,153.0,4.8023924,70.0,53.0,alpha,2,4
68.0,84.0,152.0,4.9342625,11.333333333333332,90.0,alpha,2,4
68.0,88.0,156.0,3.4813646,9749999999.999998,1.2e-05,alpha,2,4
68.0,87.0,155.0,4.1183002,1445454.5454545454,0.022,alpha,2,4
68.0,86.0,154.0,4.2797284,47617.021276595755,0.47,alpha,2,4
69.0,86.0,155.0,4.571909,2602.409638554217,0.83,alpha,2,4
69.0,85.0,154.0,5.0938336,14.999999999999998,54.0,alpha,2,4
69.0,84.0,153.0,5.2483281,1.6263736263736264,91.0,alpha,2,4
69.0,88.0,157.0,3.877879,29040000.0,0.00075,alpha,2,4
69.0,87.0,156.0,4.345302800000001,129687.49999999999,0.064,alpha,2,4
70.0,86.0,156.0,4.8097648,250.0,10.0,alpha,2,4
70.0,85.0,155.0,5.3387604,2.0112359550561796,89.0,alpha,2,4
70.0,88.0,158.0,4.1704374,4257142.857142857,0.0021,alpha,2,4
70.0,84.0,154.0,5.4743142,0.4416846652267819,92.6,alpha,2,4
71.0,87.0,158.0,4.790026,1164.8351648351647,0.91,alpha,2,4
71.0,85.0,156.0,5.595813000000001,0.494,100.0,alpha,2,4
71.0,84.0,155.0,5.8016414,0.07613636363636364,88.0,alpha,2,4
72.0,89.0,161.0,4.6791789,6133.333333333333,0.3,alpha,2,4
72.0,87.0,159.0,5.225092,43.333333333333336,12.0,alpha,2,4
72.0,88.0,160.0,4.9018746,1942.8571428571431,0.7,alpha,2,4
72.0,85.0,157.0,5.8800072000000005,0.1223404255319149,94.0,alpha,2,4
72.0,86.0,158.0,5.404777500000001,6.54627539503386,44.3,alpha,2,4
72.0,84.0,156.0,6.0259559000000005,0.023,100.0,alpha,2,4
72.0,90.0,162.0,4.4162789,483750.0,0.008,alpha,2,4
73.0,89.0,162.0,5.0058799,4810.810810810811,0.074,alpha,2,4
73.0,86.0,159.0,5.680983400000001,3.0588235294117645,34.0,alpha,2,4
73.0,84.0,157.0,6.3545986999999995,0.010559006211180125,96.6,alpha,2,4
73.0,85.0,158.0,6.1236044000000005,0.049,100.0,alpha,2,4
74.0,89.0,163.0,5.5192516,19.285714285714285,14.0,alpha,2,4
74.0,88.0,162.0,5.6782669,2.152173913043478,46.0,alpha,2,4
74.0,87.0,161.0,5.9228816,0.5602739726027397,73.0,alpha,2,4
74.0,86.0,160.0,6.0655256,0.10459770114942529,87.0,alpha,2,4
74.0,85.0,159.0,6.4508877,0.0085,100.0,alpha,2,4
74.0,94.0,168.0,4.50051,1590625.0,0.0032,alpha,2,4
74.0,93.0,167.0,4.7511923,49749.99999999999,0.04,alpha,2,4
74.0,92.0,166.0,4.8560389,54857.14285714285,0.035,alpha,2,4
74.0,91.0,165.0,5.0295853,5099.999999999999,0.1,alpha,2,4
74.0,90.0,164.0,5.278276300000001,166.8421052631579,3.8,alpha,2,4
75.0,88.0,163.0,6.0119883000000005,1.21875,32.0,alpha,2,4
75.0,87.0,162.0,6.2403702,0.11382978723404256,94.0,alpha,2,4
75.0,86.0,161.0,6.3282117,0.06285714285714286,0.7,alpha,2,4
75.0,85.0,160.0,6.6977533000000005,0.0055636363636363635,11.0,alpha,2,4
