Z,N,A,Q_MeV,half_life_s,br_alpha,Emitted_Particle,Z_k,A_k,certainty
87,134,221,31.29,3.31E+14,8.14E-13,14C,6,14,TRUE
88,133,221,32.394,2.45E+13,1.15E-12,14C,6,14,TRUE
88,134,222,33.049,1.02E+11,3.70E-10,14C,6,14,TRUE
88,135,223,31.829,1.10E+15,8.90E-10,14C,6,14,TRUE
88,136,224,30.535,7.24E+15,4.30E-11,14C,6,14,TRUE
88,138,226,28.196,1.55E+21,3.20E-11,14C,6,14,TRUE
89,136,225,30.476,1.91E+17,4.50E-12,14C,6,14,TRUE
90,138,228,44.723,5.25E+20,1.13E-13,20O,8,20,TRUE
90,140,230,57.758,4.07E+24,5.60E-13,24Ne,10,24,TRUE
91,140,231,51.844,1.05E+26,9.97E-15,23F,9,23,TRUE
91,140,231,60.408,7.59E+22,1.34E-11,24Ne,10,24,TRUE
92,138,230,61.388,3.72E+19,4.80E-14,22Ne,10,22,TRUE
92,140,232,62.309,2.51E+20,9.16E-12,24Ne,10,24,TRUE
92,141,233,60.484,6.92E+24,7.20E-13,24Ne,10,24,TRUE
92,141,233,60.776,6.92E+24,7.20E-13,25Ne,10,25,TRUE
92,142,234,74.108,1.38E+25,1.38E-13,28Mg,12,28,TRUE
92,142,234,58.825,7.59E+25,9.90E-14,24Ne,10,24,TRUE
92,142,234,59.465,7.59E+25,9.90E-14,26Ne,10,26,TRUE
92,143,235,57.361,2.63E+27,8.06E-12,24Ne,10,24,TRUE
92,143,235,57.756,2.63E+27,8.06E-12,25Ne,10,25,TRUE
92,144,236,70.56,3.80E+27,2.00E-13,28Mg,12,28,TRUE
92,144,236,72.299,3.80E+27,2.00E-13,30Mg,12,30,TRUE
94,142,236,79.668,3.31E+21,2.70E-14,28Mg,12,28,TRUE
94,144,238,91.188,1.86E+25,1.38E-16,32Si,14,32,TRUE
94,144,238,75.91,5.01E+25,5.62E-17,28Mg,12,28,TRUE
94,144,238,76.822,5.01E+25,5.62E-17,30Mg,12,30,TRUE
96,146,242,96.508,1.41E+23,1.00E-16,34Si,14,34,TRUE
56,58,114,19.4,4265.795188,1.00E-04,12C,6,12,FALSE
56,58,114,19.4,12589.25412,3.40E-05,12C,6,12,FALSE
92,144,236,55.96,7.94328E+25,9.20E-12,24Ne,10,24,FALSE
92,144,236,56.75,7.94328E+25,9.20E-12,26Ne,10,26,FALSE
92,140,232,74.32,1.8197E+22,1.18E-13,28Mg,12,28,FALSE
92,141,233,74.24,3.89045E+27,1.30E-15,28Mg,12,28,FALSE
92,143,235,72.2,1.23027E+28,1.80E-12,28Mg,12,28,FALSE
92,143,235,72.61,1.23027E+28,1.80E-12,29Mg,12,29,FALSE
93,144,237,75.02,8.51138E+26,8.00E-14,30Mg,12,30,FALSE
93,144,237,75.02,3.71535E+27,1.80E-14,30Mg,12,30,FALSE
94,146,240,90.95,3.31131E+25,6.00E-15,34Si,14,34,FALSE
95,146,241,93.84,5.12861E+22,2.60E-13,34Si,14,34,FALSE
95,146,241,93.84,2.5704E+24,5.40E-15,34Si,14,34,FALSE
95,146,241,93.84,1.8197E+25,7.40E-16,34Si,14,34,FALSE
