Z,N,A,Q_MeV,half_life_s,br_alpha,Emitted_Particle,Z_k,A_k
87,134,221,31.29,331131121482590.75,8.14e-13,14C,6,14
88,133,221,32.394,24547089156850.336,1.15e-12,14C,6,14
88,134,222,33.049,102329299228.07536,3.7e-10,14C,6,14
88,135,223,31.829,1096478196143182.9,8.9e-10,14C,6,14
88,136,224,30.535,7244359600749891.0,4.3e-11,14C,6,14
88,138,226,28.196,1.548816618912486e+21,3.2e-11,14C,6,14
89,136,225,30.476,1.9054607179632522e+17,4.5e-12,14C,6,14
90,138,228,44.723,5.2480746024977125e+20,1.13e-13,20O,8,20
90,140,230,57.758,4.073802778041122e+24,5.6e-13,24Ne,10,24
91,140,231,51.844,1.0471285480508985e+26,9.97e-15,23F,9,23
91,140,231,60.408,7.58577575029182e+22,1.34e-11,24Ne,10,24
92,138,230,61.388,3.7153522909717275e+19,4.8e-14,22Ne,10,22
92,140,232,62.309,2.5118864315095718e+20,9.16e-12,24Ne,10,24
92,141,233,60.484,6.918309709189363e+24,7.2e-13,24Ne,10,24
92,141,233,60.776,6.918309709189363e+24,7.2e-13,25Ne,10,25
92,142,234,74.108,1.3803842646028867e+25,1.38e-13,28Mg,12,28
92,142,234,58.825,7.585775750291821e+25,9.9e-14,24Ne,10,24
92,142,234,59.465,7.585775750291821e+25,9.9e-14,26Ne,10,26
92,143,235,57.361,2.630267991895392e+27,8.06e-12,24Ne,10,24
92,143,235,57.756,2.630267991895392e+27,8.06e-12,25Ne,10,25
92,144,236,70.56,3.801893963205597e+27,2e-13,28Mg,12,28
92,144,236,72.299,3.801893963205597e+27,2e-13,30Mg,12,30
94,142,236,79.668,3.311311214825908e+21,2.7e-14,28Mg,12,28
94,144,238,91.188,1.8620871366628656e+25,1.38e-16,32Si,14,32
94,144,238,75.91,5.011872336272714e+25,5.62e-17,28Mg,12,28
94,144,238,76.822,5.011872336272714e+25,5.62e-17,30Mg,12,30
96,146,242,96.508,1.4125375446227497e+23,1e-16,34Si,14,34
