cluster_train_samples,network_structure,training_type,cluster_train_rms,cluster_test_rms,total_cluster_samples,cluster_train_samples_count,cluster_test_samples_count,training_time_min
0,"(1,6)",alpha_only,,19.803297,27,0,27,0.37549214363098143
5,"(1,6)",cluster_only,0.0,2.7253325,27,5,22,0.0017035762468973795
5,"(1,6)",combined,7.5735979080200195,6.6104474,27,5,22,0.5140912334124247
0,"(1,6)",alpha_only,,20.620293,27,0,27,0.38303420941034955
10,"(1,6)",cluster_only,6.031565931152727e-07,3.4652534,27,10,17,0.0038042068481445312
10,"(1,6)",combined,5.244073867797852,5.525529,27,10,17,0.5481224894523621
0,"(1,6)",alpha_only,,26.606962,27,0,27,0.48327006498972574
15,"(1,6)",cluster_only,0.02889050915837288,1.7084321,27,15,12,0.01052620808283488
15,"(1,6)",combined,0.6838653683662415,2.5772622,27,15,12,0.5181984543800354
0,"(1,6)",alpha_only,,23.787386,27,0,27,0.21512261629104615
22,"(1,6)",cluster_only,4.507475852966309,3.1006598,27,22,5,0.0037784337997436523
22,"(1,6)",combined,2.295011043548584,1.2726973,27,22,5,0.25950170755386354
