combination_name,layer,neurons,train_samples,sort_row,combined_total_rms,combined_train_rms,combined_test_rms,combined_train_count,combined_test_count,cluster_only_total_rms,cluster_only_train_rms,cluster_only_test_rms,cluster_only_train_count,cluster_only_test_count
1L_6N_k10_row0,1,6,10,0,4.243112,,,27,0,3.212215,,,27,0
1L_6N_k10_row1,1,6,10,1,4.3974166,,,27,0,3.340138,,,27,0
1L_6N_k10_row2,1,6,10,2,4.395854,,,27,0,3.4260569,,,27,0
1L_6N_k10_row3,1,6,10,3,4.242038,,,27,0,3.305775,,,27,0
1L_6N_k10_row4,1,6,10,4,4.4105124,,,27,0,3.186987,,,27,0
1L_6N_k10_row5,1,6,10,5,4.31818,,,27,0,3.2332551,,,27,0
1L_6N_k10_row6,1,6,10,6,5.027126,,,27,0,3.231955,,,27,0
1L_6N_k10_row7,1,6,10,7,5.914961,,,27,0,3.3334312,,,27,0
1L_6N_k10_row8,1,6,10,8,5.3840384,,,27,0,3.24913,,,27,0
1L_6N_k10_row9,1,6,10,9,5.080293,,,27,0,3.2492878,,,27,0
1L_6N_k10_row10,1,6,10,10,4.479207,,,27,0,3.2040627,,,27,0
1L_6N_k10_row11,1,6,10,11,5.2592216,,,27,0,3.25341,,,27,0
1L_6N_k10_row12,1,6,10,12,5.210352,,,27,0,3.2557642,,,27,0
1L_6N_k10_row13,1,6,10,13,5.2034297,,,27,0,3.1528082,,,27,0
1L_6N_k10_row14,1,6,10,14,5.0109963,,,27,0,3.2265096,,,27,0
1L_6N_k10_row15,1,6,10,15,4.379284,,,27,0,3.1383405,,,27,0
1L_6N_k10_row16,1,6,10,16,4.240656,,,27,0,3.2135637,,,27,0
1L_6N_k10_row17,1,6,10,17,5.249282,,,27,0,3.2701187,,,27,0
1L_6N_k10_row18,1,6,10,18,5.0275054,,,27,0,3.2096417,,,27,0
1L_6N_k10_row19,1,6,10,19,4.9092717,,,27,0,3.0784554,,,27,0
1L_6N_k10_row20,1,6,10,20,4.321404,,,27,0,3.1446087,,,27,0
1L_6N_k10_row21,1,6,10,21,4.3366218,,,27,0,3.263296,,,27,0
